Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
25,Retaliate 2: 0.08,2.755371900826446,0.7223140495867768,56.0,1.0,143,0.6816804407713498,0.040633608815427,0.10881542699724517,0.16887052341597797,1.0,0,0,0
26,Adaptive Pavlov 2011,2.7549586776859507,0.8022038567493113,40.0,1.0,3,0.727961432506887,0.07424242424242425,0.09214876033057852,0.1056473829201102,0.9732476277930824,0.2810846560846561,0.6519582016157358,0
27,"Limited Retaliate 3: 0.05, 20",2.7549586776859507,0.7139118457300275,59.0,1.0,111,0.671900826446281,0.042011019283746565,0.11363636363636363,0.17245179063360883,1.0,0,0,0
28,Winner12,2.754545454545455,0.8056473829201102,30.0,1.0,204,0.7329201101928375,0.07272727272727274,0.09049586776859503,0.10385674931129477,1.0,0.5792443064182194,0,0.5977412610065672
29,Evolved FSM 16 Noise 05,2.7512396694214876,0.8067493112947658,29.0,1.0,53,0.7319559228650138,0.07479338842975207,0.08870523415977963,0.10454545454545455,0.9781167588710641,0.5614055299539171,0.6467668488160291,0.23433321064900006
30,EvolvedLookerUp2_2_2,2.7512396694214876,0.8370523415977962,32.0,1.0,58,0.7451790633608816,0.0918732782369146,0.08663911845730027,0.0763085399449036,0.9139002604610359,0.5653092833092833,0.8468333333333333,0.8361273080660834
31,EvolvedAttention,2.7512396694214876,0.8333333333333334,34.0,1.0,59,0.7454545454545455,0.08787878787878788,0.08732782369146005,0.0793388429752066,0.9243472861738811,0.5681161816578483,0.8092032967032966,0.830564784053156
32,"BackStabber: (D, D)",2.747520661157025,0.7535812672176309,164.0,1.0,17,0.6425619834710744,0.11101928374655648,0.14393939393939395,0.1024793388429752,0.8961911502557957,0.8253953678196103,0,0
33,CAPRI,2.744628099173554,0.784159779614325,29.0,1.0,23,0.7213498622589531,0.0628099173553719,0.09104683195592288,0.12479338842975206,1.0,0,0.7381642512077294,0
34,SpitefulCC,2.743801652892562,0.7381542699724518,53.0,1.0,181,0.6898071625344353,0.04834710743801653,0.10385674931129477,0.15798898071625345,0.988586813459067,0.7192028985507247,0,0
